127.0.0.1 - - [08/Jun/2022:13:02:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:02:42 +0900] "GET /BBS/ HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:02:42 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:02:42 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:02:42 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:02:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:02:56 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:02:59 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:03:02 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:03:03 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:03:05 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6622
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:03:18 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:03:21 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:03:22 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:03:25 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:03:38 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:03:39 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:03:41 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6622
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:03:44 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 3446
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:03:51 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:03:52 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6626
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:06:39 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:06:42 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:06:43 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:06:44 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6674
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:06:46 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 3494
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:06:53 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [08/Jun/2022:13:06:54 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 3089
